ID,Area,Feature,SourceEvidence,TargetModule,TargetAsset,AutomatedCheck,ManualCheck,Status
FLOW-001,StartMenu,Intro video plays once then loop video,Assets/Art/Video/1开头.mp4;Assets/Art/Video/2循环.mp4,Presentation/Video,StartMenu UI Form,PlayMode video state test,MANUAL-START-VIDEO,implemented; automated evidence linked; manual pending
FLOW-002,StartMenu,Start button enters Boss1,StartGameBtnDown binding in Baseline/unityevent-methods.csv,Bootstrap/Flow,StartMenu UI Form,PlayMode scene-flow test,MANUAL-START-NORMAL,implemented; automated evidence linked; manual pending
FLOW-003,StartMenu,Level selection enters Boss1 or Boss2,GoTest1;GoTest2 bindings,Bootstrap/Flow,LevelSelect UI Form,PlayMode route tests,MANUAL-START-LEVELS,implemented; automated evidence linked; manual pending
FLOW-004,StartMenu,Settings and back navigation,SettingBtnDwon;BackSettingBtnDwon;BackStartBtnDown bindings,UI/Menu,Settings UI Form,PlayMode form lifecycle test,MANUAL-START-PANELS,implemented; automated evidence linked; manual pending
FLOW-005,StartMenu,Exit application,ExitGameBtn binding,Bootstrap/Application,StartMenu UI Form,Editor-safe quit test,MANUAL-START-EXIT,implemented; automated evidence linked; manual pending
FLOW-006,Loading,Progress and fade for every transition,Assets/Game/Scripts/UI/LoadScenes.cs,Bootstrap/Flow,Loading UI Form,PlayMode monotonic progress test,MANUAL-LOADING,implemented; automated evidence linked; manual pending
FLOW-007,GlobalFlow,Pause and resume with Escape,Esc prefab;source input calls,Bootstrap/Time;UI/Pause,Pause UI Form,PlayMode pause composition test,MANUAL-PAUSE,implemented; automated evidence linked; manual pending
FLOW-008,GlobalFlow,Restart previous next and return menu,Esc prefab UnityEvents,Bootstrap/Flow,Pause UI Form,PlayMode route matrix,MANUAL-PAUSE-ROUTES,implemented; automated evidence linked; manual pending
SET-001,Settings,BGM toggle and persistence,SetBGM bindings;source GameManager/UI scripts,Presentation/Sound;Bootstrap/Settings,Settings UI Form,PlayMode sound-group test,MANUAL-BGM,implemented; automated evidence linked; manual pending
SET-002,Settings,SFX toggle and persistence,SetSFX bindings;source UI scripts,Presentation/Sound;Bootstrap/Settings,Settings UI Form,PlayMode sound-group test,MANUAL-SFX,implemented; automated evidence linked; manual pending
SET-003,Settings,Key-tip toggle and persistence,OffKeyTip;OpenKeyTip bindings;GameManager.cs,Bootstrap/Settings;UI,Settings/Pause Forms,PlayMode persistence test,MANUAL-KEYTIP,implemented; automated evidence linked; manual pending
INPUT-001,Input,2D movement axes,HeroController.cs Horizontal/Vertical,Input;Player,LegacyInputAdapter,EditMode fake input;static boundary,MANUAL-MOVE,implemented; automated evidence linked; manual pending
INPUT-002,Input,Dash press semantics,HeroController.cs Jump,Input;Player,LegacyInputAdapter,EditMode edge test,MANUAL-DASH,implemented; automated evidence linked; manual pending
INPUT-003,Input,Attack pressed and held,HeroController.cs Fire1,Input;Player,LegacyInputAdapter,EditMode edge/hold test,MANUAL-ATTACK,implemented; automated evidence linked; manual pending
INPUT-004,Input,Drop action,HeroController.cs Fire2,Input;Player,LegacyInputAdapter,EditMode edge test,MANUAL-DROP,implemented; automated evidence linked; manual pending
INPUT-005,Input,Pointer-to-world aiming,HeroController.cs mousePosition,Input;Player,CameraPointerAdapter,PlayMode camera conversion test,MANUAL-AIM,implemented; automated evidence linked; manual pending
INPUT-006,Input,Any-key tutorial dismissal,source tutorial UI scripts,Input;UI,GameInput tutorial gate,PlayMode consumed-edge test,MANUAL-TUTORIAL-DISMISS,implemented; automated evidence linked; manual pending
PLAYER-001,Player,Movement speed facing and Animator locomotion,HeroController.cs;HeroAnimStae.cs,Player,Hero prefab;Animator,EditMode/PlayMode locomotion tests,MANUAL-MOVE-ANIM,implemented; automated evidence linked; manual pending
PLAYER-002,Player,Dash movement and invulnerability,HeroController.cs;animation events,Player;Combat,Hero prefab,EditMode/PlayMode dash tests,MANUAL-DASH-IFRAME,implemented; automated evidence linked; manual pending
PLAYER-003,Player,Successful dash slows to 0.45 and heals one,HeroController.cs;health logic,Combat/Time;Player,Hero prefab,EditMode time/health test,MANUAL-DASH-REWARD,implemented; automated evidence linked; manual pending
PLAYER-004,Player,Hit knockback invulnerability and forced drop,HeroController.cs;HeroAnimStae.cs,Player;Combat,Hero prefab,PlayMode hit sequence test,MANUAL-PLAYER-HIT,implemented; automated evidence linked; manual pending
PLAYER-005,Player,Five maximum HP and HUD,source Hero health;UI HP scripts,Combat;UI,Hero prefab;Battle HUD,EditMode health bounds test,MANUAL-PLAYER-HP,implemented; automated evidence linked; manual pending
PLAYER-006,Player,Death animation camera and restart,HeroController.cs;Death_sc_Over.cs;HeroCamera_.cs,Player;Presentation/Camera;UI,Hero prefab;Defeat Form,PlayMode death sequence test,MANUAL-DEATH,implemented; automated evidence linked; manual pending
WEAPON-001,Weapons,Normal/scissors/hammer/bomb/knife/axe/airplane identities,Weapon.cs;HeroController.cs,Combat;Player,Weapon DataTable,EditMode mapping tests,MANUAL-WEAPON-TYPES,implemented; automated evidence linked; manual pending
WEAPON-002,Weapons,Red/green/purple/orange identities,Weapon.cs;boss HP scripts,Combat,Weapon/Boss DataTables,EditMode mapping/count tests,MANUAL-WEAPON-COLORS,implemented; automated evidence linked; manual pending
